"Ad name","Delivery status","Delivery level","Ad set name","Ad name","Attribution setting","Amount spent (PLN)",Purchases,"Purchases conversion value","Cost per purchase","Koszulkowy Contribution Profit (7 Days Attribution) (PLN)","Result value type","Results ROAS","Average purchases conversion value","Purchases rate per link clicks","Purchases rate per landing page views","Checkouts initiated","Checkouts initiated conversion value","Cost per checkout initiated","Adds to cart","Adds to cart conversion value","Cost per add to cart","Landing page views","App landing page views","Website landing page views","Cost per landing page view","Landing Page Views / Outbound Clicks Rate","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Hook Rate","Hold Rate","CPM (cost per 1,000 impressions)","Quality ranking","Engagement rate ranking","Conversion rate ranking","Link (ad settings)","Body (ad settings)","Reporting starts","Reporting ends"
"Tatozaur - 14147",inactive,ad,"CKW Tata","Tatozaur - 14147","7-day click, 1-day view or 1-day engaged view",52.4,5,695.78,10.48,237.79117073,"Website purchases conversion value",13.27824427,139.156,5.68181818,7.69230769,27,2945.17,1.94074074,9,598.7,5.82222222,65,,65,0.80615385,0.74712644,88,0.59545455,1.08281039,0,,6.44764366,"Below average – bottom 35% of ads","Below average – bottom 35% of ads",Average,https://koszulkowy.pl/14147-tatozaur.html,"Tatozaur 🦖👨‍👧‍👦
Super koszulka dla taty

Kup teraz ➡ https://koszulkowy.pl/14147-tatozaur.html 👕",2026-01-01,2026-01-31
"Bogaty i umyty 35464",inactive,ad,"5.Pragmatyczny Śmieszek_100_42_PL","Bogaty i umyty 35464","7-day click, 1-day view or 1-day engaged view",52.24,,,,-52.24,,,,0,0,6,404.5,8.70666667,2,139.8,26.12,54,,54,0.96740741,0.91525424,59,0.88542373,0.43758807,0,,3.87450864,Average,"Above average","Above average",https://koszulkowy.pl/35464-a-ja-jestem-bogaty.html,"A ja jestem bogaty i umyty 👕 męska koszulka na prezent dla fanów serialu 1670 🎁 https://koszulkowy.pl/35464-a-ja-jestem-bogaty.html 🤩 Wysyłka w 24h",2026-01-01,2026-01-31
"29874 - Zateguje miara",not_delivering,ad,"8.Pragmatyczny Śmieszek__80_ 70_PL","29874 - Zateguje miara","7-day click, 1-day view or 1-day engaged view",51.87,,,,-51.87,,,,0,0,,,,,,,47,,47,1.10361702,0.8245614,57,0.91,0.75657022,0,,6.88478896,-,-,-,https://koszulkowy.pl/29874-to-sie-jakos-zateguje.html,"To się jakoś zateguje - grawerowana miara z notesikiem.🛠️ Zaskocz bliskich niebanalnym prezentem, który łączy praktyczność z osobistym akcentem. 🎁 Sprawdź już teraz! 👉 https://koszulkowy.pl/29874-to-sie-jakos-zateguje.html",2026-01-01,2026-01-31
"LINK - Karuzela Influ 2 | 26.08",inactive,ad,"F0 - głównie kubek kochnie 3642","LINK - Karuzela Influ 2 | 26.08","7-day click or 1-day view",51.86,2,180.4,25.93,23.38,"Website purchases conversion value",3.47859622,90.2,2.4691358,3.50877193,11,1120.2,4.71454545,6,262.89,8.64333333,57,,57,0.90982456,0.72151899,81,0.64024691,1.04300798,0.00927118,0.09722222,6.67782642,-,-,-,https://koszulkowy.pl/,"✅ Gwarancja wysyłki do 24h
✅ Ekspresowa obsługa klienta
✅ Opinia 4.8/5

https://koszulkowy.pl/

""Jestem bardzo zadowolona z przebiegu zamówienia, wszystko zgodnie z opisem"" Opinia klientki 💝",2026-01-01,2026-01-31
Modlitwa,inactive,ad,"Rolka branding",Modlitwa,"7-day click, 1-day view or 1-day engaged view",50.78,1,50.5,50.78,-29.71780488,"Website purchases conversion value",0.99448602,50.5,1.17647059,1.49253731,7,460.8,7.25428571,4,234.3,12.695,67,,67,0.75791045,0.78823529,85,0.59741176,0.72414381,0.00911569,0.14018692,4.32612029,Average,"Above average",Average,https://koszulkowy.pl/,"Często żartujemy, że nasz kierownik jest „taki zły”… ale prawda jest taka, że wcale taki nie jest 😉

Gotowi na nadchodzące święta? Dajcie znać w komentarzach! 👇

Zaobserwuj nasz profil! 💙
#korpohumor #szef #workvibes #workbestie #pracazludzmi",2026-01-01,2026-01-31
"Przyjdź jak zjesz",inactive,ad,"Rolka branding","Przyjdź jak zjesz","7-day click, 1-day view or 1-day engaged view",49.27,1,239.6,49.27,50.66073171,"Website purchases conversion value",4.8629998,239.6,1.42857143,2.77777778,10,1319.3,4.927,8,507,6.15875,36,,36,1.36861111,0.51428571,70,0.70385714,1.17449664,0.06124161,0.42465753,8.26677852,Average,"Above average",Average,https://koszulkowy.pl/,"Nie ma co się śpieszyć. 😅

Jakie jedzenie najczęściej pakujecie ze sobą do pracy?

Koniecznie zaobserwuj nasz profil! 💙
#korpohumor #workvibes #życiewpracy #workbestie",2026-01-01,2026-01-31
"DPA CKW Minecraft Karuzela",inactive,ad,"DPA CKW Minecraft","DPA CKW Minecraft Karuzela","7-day click, 1-day view or 1-day engaged view",48.68,,,,-48.68,,,,0,0,5,555.5,9.736,4,278.5,12.17,14,,14,3.47714286,0.7,20,2.434,0.405515,0.00020276,1,9.8702352,-,-,-,https://koszulkowy.pl/1060-minecraft,"Idealny prezent dla dziecka 👉 https://koszulkowy.pl/1060-minecraft 👕 Zamów koszulkę, bluzę z kapturem, magiczny kubek lub inny gadżet  🤩✨ Sprawdź całą ofertę 🎁",2026-01-01,2026-01-31
"LINK - Ranczo Rolka",not_delivering,ad,"8.Pragmatyczny Śmieszek__135_ 49_PL","LINK - Ranczo Rolka","7-day click, 1-day view or 1-day engaged view",45.86,2,170.9,22.93,25.41780488,"Website purchases conversion value",3.72655909,85.45,5,7.69230769,8,512.7,5.7325,4,188.4,11.465,26,,26,1.76384615,0.65,40,1.1465,0.47932894,0.14307969,0.28056951,5.49550629,Average,"Above average",Average,https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo,"To tylko sny, szalone sny... 🌸

Wilkowyje to nie tylko Lucy, Czerepach i Kusy – to klimat, którego się nie zapomina. Każdy, kto oglądał Ranczo, wie, że te teksty i sytuacje to czyste złoto. 😂

Dlatego nasze produkty inspirowane serialem to obowiązkowy gadżet dla fanów – trochę nostalgii, trochę humoru i sporo wspomnień z najlepszych czasów polskiej telewizji. 😊📺

Zobacz więcej 👉 https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo",2026-01-01,2026-01-31
"Dzień bez hokeja 25308",active,ad,"5.Pragmatyczny Śmieszek_100_42_PL","Dzień bez hokeja 25308","7-day click, 1-day view or 1-day engaged view",44.9,2,250.4,22.45,59.53512195,"Website purchases conversion value",5.57683742,125.2,1.37931034,1.65289256,13,1517.2,3.45384615,14,1064.1,3.20714286,121,,121,0.37107438,0.83448276,145,0.30965517,1.52439024,0,,4.72035324,-,-,-,https://koszulkowy.pl/25308-dzien-bez-hokeja.html,"Dzień bez hokeja mnie nie zabije, ale po co ryzykować 🏒🩵
Idealny prezent dla fanów lodowych emocji! 💥🧊
Kup teraz ➡️ https://koszulkowy.pl/25308-dzien-bez-hokeja.html",2026-01-01,2026-01-31
"Miara sie zateguje 29874 - Copy",not_delivering,ad,"13.Pragmatyczny Śmieszek__100_59_PL","Miara sie zateguje 29874 - Copy","7-day click, 1-day view or 1-day engaged view",43.28,,,,-43.28,,,,0,0,,,,5,323.78,8.656,52,,52,0.83230769,0.85245902,61,0.7095082,0.89064097,0,,6.31917068,-,-,-,https://koszulkowy.pl/29874-to-sie-zateguje.html,"To się jakoś zateguje - grawerowana miara z notesikiem. 😅
Idealna na prezent dla tych, którzy zawsze znajdą wyjście z trudnej sytuacji. 😁 
Kup już dziś 👉 https://koszulkowy.pl/29874-to-sie-zateguje.html",2026-01-01,2026-01-31
"Dziadek traktor - 12437",not_delivering,ad,"CKW - Dziadek traktor - 28","Dziadek traktor - 12437","7-day click",41.97,1,70.9,41.97,-12.3995122,"Website purchases conversion value",1.68930188,70.9,3.44827586,5.26315789,10,661.94,4.197,3,209.7,13.99,19,,19,2.20894737,0.65517241,29,1.44724138,0.40565114,0,,5.87075115,-,-,-,https://koszulkowy.pl/12437-dziadek-traktor.html,"Najlepszy dziadek jeździ traktorem 🚜💚
Szukasz prezentu na Dzień Dziadka? Ta koszulka będzie idealna! 😊 
Kup teraz ✅ https://koszulkowy.pl/12437-dziadek-traktor.html",2026-01-01,2026-01-31
"Ranczo 35149 - Copy",not_delivering,ad,"13.Pragmatyczny Śmieszek__100_59_PL","Ranczo 35149 - Copy","7-day click, 1-day view or 1-day engaged view",41.37,,,,-41.37,,,,0,0,3,390.38,13.79,,,,63,,63,0.65666667,0.8630137,73,0.56671233,0.88004822,0,,4.98734177,-,-,-,https://koszulkowy.pl/35149-zeby-wilk-byl-syty-i-wilkowyje-city-dla-fanow-serialu-ranczo.html,"Żeby wilk był syty i Wilkowyje City - dla fanów serialu Ranczo. 🎁 Wyjątkowy upominek dla miłośników kultowego serialu, który rozbawi każdego fana! 🌟 Kup teraz ➡️ https://koszulkowy.pl/35149-zeby-wilk-byl-syty-i-wilkowyje-city-dla-fanow-serialu-ranczo.html",2026-01-01,2026-01-31
"Six seven 36550 bluza film – kopia",active,ad,"7.Viral Trends__115_ 42_PL","Six seven 36550 bluza film – kopia","7-day click, 1-day view or 1-day engaged view",40.58,3,318.9,13.52666667,92.42463415,"Website purchases conversion value",7.85855101,106.3,8.57142857,11.53846154,19,2599.2,2.13578947,10,876.3,4.058,26,,26,1.56076923,0.74285714,35,1.15942857,0.59051797,0.07204319,0.21545667,6.84663405,Average,Average,Average,https://koszulkowy.pl/36550-six-seven.html,"Six seven 67 - Italian Brainrot - bluza idealna na prezent! 🎁
Kup teraz 👉 https://koszulkowy.pl/36550-six-seven.html",2026-01-01,2026-01-31
"DPA CKW Budowlaniec Karuzela",inactive,ad,"DPA CKW Budowlaniec","DPA CKW Budowlaniec Karuzela","7-day click, 1-day view or 1-day engaged view",39.85,6,439.29,6.64166667,143.36607317,"Website purchases conversion value",11.02358846,73.215,24,42.85714286,9,719.69,4.42777778,2,169.9,19.925,14,,14,2.84642857,0.73684211,25,1.594,0.47116472,0,,7.51036562,-,-,-,https://koszulkowy.pl/562-prezent-dla-budowlanca,"👉 https://koszulkowy.pl/562-prezent-dla-budowlanca 👕 Zamów koszulkę, bluzę z kapturem, magiczny kubek lub inny gadżet na prezent ✨ Sprawdź całą ofertę 🎁",2026-01-01,2026-01-31
"Sprawiasz że 38497",not_delivering,ad,"Walentynki nowości","Sprawiasz że 38497",Incremental,38.83,3,226.56,12.94333333,55.66209756,"Website purchases conversion value",5.83466392,75.52,3.61445783,4.05405405,17,1199.96,2.28411765,9,402.72,4.31444444,74,,74,0.52472973,0.89156627,83,0.46783133,1.4307878,0,,6.6936735,Average,"Above average",Average,https://koszulkowy.pl/38497-sprawiasz-ze-dochodze.html,"Sprawiasz, że dochodzę do wniosku... - magiczny kubek z brokatem na prezent. ✨ Zaskocz bliskich oryginalnym gadżetem, który każdego dnia wywoła uśmiech na ich twarzy! 🎁 Kup teraz ➡️ https://koszulkowy.pl/38497-sprawiasz-ze-dochodze.html",2026-01-01,2026-01-31
"Ranczo Kubek 35341",inactive,ad,"CKW Wilkowyje Ranczo","Ranczo Kubek 35341","7-day click or 1-day view",37.87,1,55.5,37.87,-14.72243902,"Website purchases conversion value",1.46554001,55.5,1.31578947,1.5625,4,161.5,9.4675,5,188.9,7.574,64,,64,0.59171875,0.84210526,76,0.49828947,0.74363992,0,,3.70547945,"Above average","Above average","Above average",https://koszulkowy.pl/35341-z-laweczka-zadzierasz.html,"Z ławeczką zadzierasz? Ciulu niemyty - dla fanów serialu Ranczo 🎁  kubek na prezent 🤩 Kup teraz 👉 https://koszulkowy.pl/35341-z-laweczka-zadzierasz.html",2026-01-01,2026-01-31
"DYNAMIC TATA MULTIFOTY",inactive,ad,"DYNAMIC TATA MULTIFOTY – kopia","DYNAMIC TATA MULTIFOTY","7-day click or 1-day view",37.13,2,162.8,18.565,30.7695122,"Website purchases conversion value",4.38459467,81.4,2.89855072,4.16666667,8,615.7,4.64125,5,252.9,7.426,48,,48,0.77354167,0.69565217,69,0.53811594,0.88010204,0,,4.73596939,Average,Average,Average,https://koszulkowy.pl/217-koszulki-i-bluzy-dla-taty,"Wejdź ➡ https://koszulkowy.pl/217-dla-taty",2026-01-01,2026-01-31
"CKW F0 z Bestami - 7 - Copy",not_delivering,ad,"13.Pragmatyczny Śmieszek__100_59_PL","CKW F0 z Bestami - 7 - Copy","7-day click, 1-day view or 1-day engaged view",36.79,1,58.5,36.79,-12.39121951,"Website purchases conversion value",1.59010601,58.5,4.54545455,10,6,339,6.13166667,2,89,18.395,10,,10,3.679,0.45454545,22,1.67227273,0.42177914,0.09221626,0.05613306,7.05329755,Average,Average,Average,http://koszulkowy.pl/,"✅ Gwarancja wysyłki do 24h 
✅ Ekspresowa obsługa klienta
✅ Opinia 4.8/5

https://koszulkowy.pl/ 

""Jestem bardzo zadowolona z przebiegu zamówienia, wszystko zgodnie z opisem"" Opinia klientki 💝",2026-01-01,2026-01-31
"Komnata tajemnic 37226",inactive,ad,"A+ Świece Harry Potter","Komnata tajemnic 37226",Incremental,34.31,,,,-34.31,,,,0,0,0,2.88,0,1,73,34.31,53,,53,0.64735849,0.84126984,63,0.54460317,0.75748467,0,,4.12528556,Average,"Above average",Average,https://koszulkowy.pl/37226-swieca-o-zapachu-komnaty-tajemnic.html,"Świeca o zapachu Komnaty Tajemnic - świeczka zapachowa dla fanów serii Harry Potter. ✨ Odkryj magię zapachu, który przeniesie Cię do magicznego świata książek i filmów. 🔮 Kup teraz ➡️ https://koszulkowy.pl/37226-swieca-o-zapachu-komnaty-tajemnic.html",2026-01-01,2026-01-31
"Siatkówka jest bogiem - 18021",inactive,ad,"5.Pragmatyczny Śmieszek_100_42_PL","Siatkówka jest bogiem - 18021","7-day click, 1-day view or 1-day engaged view",33.39,,,,-33.39,,,,0,0,1,129.9,33.39,1,69.9,33.39,68,,68,0.49102941,0.82926829,82,0.40719512,1.2304922,0,,5.0105042,"Below average – bottom 35% of ads","Above average","Above average",https://koszulkowy.pl/18021-siatkowka-jest-bogiem.html,"Siatkówka jest bogiem, sety nałogiem, zagrywka zabawą, a punkty podstawą  🎉
Podaruj wyjątkowy prezent 🤗
Zamów teraz 👉 https://koszulkowy.pl/18021-siatkowka-jest-bogiem.html",2026-01-01,2026-01-31
"A+ Mama Rolka Meta - Bestsellery – kopia - Copy",not_delivering,ad,"14.Sentymentalna Opiekunka__80_59_PL","A+ Mama Rolka Meta - Bestsellery – kopia - Copy","7-day click, 1-day view or 1-day engaged view",32.3,,,,-32.3,,,,0,0,1,55.5,32.3,,,,13,,13,2.48461538,0.56521739,23,1.40434783,0.38301415,0.13238968,0.17987421,5.37885096,Average,Average,Average,https://koszulkowy.pl/370-koszulki-dla-mamy,"🌸 Poznaj nasze bestsellerowe koszulki – idealny prezent dla Mamy! 💝
Szukasz czegoś wyjątkowego na Dzień Matki? Nasze najchętniej wybierane koszulki łączą wygodę, styl i wzruszające przesłania, które każda Mama pokocha. 👕❤️

Zobacz, co pokochali nasi klienci i wybierz model, który idealnie odda to, co czujesz. ✨

🎁 Nie czekaj – zamów już dziś i spraw Mamie radość, na którą zasługuje!

👉 https://koszulkowy.pl/370-koszulki-dla-mamy",2026-01-01,2026-01-31
"Dzień bez hokeja 25308",inactive,ad,"CKW Hokej 25308","Dzień bez hokeja 25308","7-day click, 1-day view or 1-day engaged view",30.75,2,161.8,15.375,36.73243902,"Website purchases conversion value",5.26178862,80.9,1.94174757,2.27272727,5,404.5,6.15,3,209.7,10.25,88,,88,0.34943182,0.85436893,103,0.29854369,1.6490554,0,,4.92315082,-,-,-,https://koszulkowy.pl/25308-dzien-bez-hokeja.html,"Dzień bez hokeja mnie nie zabije, ale po co ryzykować 🏒🩵
Idealny prezent dla fanów lodowych emocji! 💥🧊
Kup teraz ➡️ https://koszulkowy.pl/25308-dzien-bez-hokeja.html",2026-01-01,2026-01-31
"Karuzela Grawery Babcia Dziadek",not_delivering,ad,"CKW - Katalog Grawery Babcia Dziadek - 24","Karuzela Grawery Babcia Dziadek","7-day click",29.42,,,,-29.42,,,,0,0,,,,1,59,29.42,35,,35,0.84057143,0.83333333,42,0.70047619,1.17482517,0,,8.22937063,-,-,-,https://koszulkowy.pl/773-prezent-dla-dziadka,"Wyjątkowe grawerowane upominki dla babci i dziadka 🎀 Zobacz co dla Ciebie przygotowaliśmy
👉 https://koszulkowy.pl/773-prezent-dla-dziadka",2026-01-01,2026-01-31
"Six seven 36547 koszulka film – kopia",not_delivering,ad,"7.Viral Trends__115_ 42_PL","Six seven 36547 koszulka film – kopia","7-day click, 1-day view or 1-day engaged view",27.41,,,,-27.41,,,,0,0,5,740.55,5.482,,,,21,,21,1.3052381,0.75,28,0.97892857,0.65650645,0.06072685,0.14285714,6.42672919,Average,Average,"Above average",https://koszulkowy.pl/36547-six-seven.html,"Six seven 67 - Italian Brainrot - koszulka idealna na prezent! 🎁
Kup teraz 👉 https://koszulkowy.pl/36547-six-seven.html",2026-01-01,2026-01-31
"Fartuch Gang Babci 15837",not_delivering,ad,"CKW Babcia i Dizadek - 12/01 MIN 20zł","Fartuch Gang Babci 15837","7-day click or 1-day view",26.92,,,,-26.92,,,,0,0,,,,2,98.5,13.46,29,,29,0.92827586,0.85294118,34,0.79176471,1.22082585,0,,9.66606822,Average,Average,Average,https://koszulkowy.pl/15837-gang-babci.html,"Gang babci 👵💥
Wiemy, że już masz sporo na głowie, z prezentami możesz polegać na nas 😄🎁
Kup teraz ✅  https://koszulkowy.pl/15837-gang-babci.html",2026-01-01,2026-01-31
"ABO Sprzedaż Rolki Meta 31846 BOOM – kopia",not_delivering,ad,"10.Viral trend__115_ 70_PL","ABO Sprzedaż Rolki Meta 31846 BOOM – kopia","7-day click, 1-day view or 1-day engaged view",25.52,,,,-25.52,,,,0,0,7,481.4,3.64571429,3,183,8.50666667,8,,8,3.19,0.57142857,16,1.595,0.64542154,0.15006051,0.15591398,10.29447358,-,-,-,https://koszulkowy.pl/31846-boom-minecraft.html,"💣 Koszulka Minecraft „BOOM” – HIT dla młodych fanów gry! 🎮👕

Masz w domu małego gracza, który żyje światem bloków i pikseli? Szukasz prezentu, który naprawdę go ucieszy? 🎁

W Koszulkowy.pl mamy coś, co wybucha radością – dosłownie! 💥
Dziecięca koszulka „BOOM” z motywem creepera to idealny wybór na prezent dla każdego fana Minecrafta.
Personalizowana, wygodna i stworzona z myślą o młodych pasjonatach tej kultowej gry!

🎮 Koszulki Minecraft to nasz sposób na połączenie zabawy z wygodą. Sprawdzą się jako prezent na urodziny, święta lub po prostu jako niespodzianka bez okazji.

👕 100% bawełna premium – miękka i przyjazna dla skóry
🎨 Autorski projekt inspirowany Minecraftem
⚡️ Ekspresowa realizacja i wysyłka
🎁 Prezent, który robi „BOOM!” – dosłownie i w przenośni

👇 Sprawdź tę i inne koszulki z serii Minecraft:
https://koszulkowy.pl/31846-boom-minecraft.html
📦 Darmowa dostawa od 79 zł

#MinecraftKoszulka #koszulkinaprezent #prezentdlaDziecka #gadżetynaprezent #koszulkidziecięce #Koszulkowypl #prezentdlaGracza #BOOMminecraft #dziecięcekoszulki",2026-01-01,2026-01-31
"Nie lubie starych bab 37598",not_delivering,ad,"A+ Serialowe","Nie lubie starych bab 37598",Incremental,25.49,,,,-25.49,,,,0,0,1,41.99,25.49,2,83.19,12.745,29,,29,0.87896552,0.69047619,42,0.60690476,0.82191781,0,,4.98825832,-,-,-,https://koszulkowy.pl/37598-ja-po-prostu-nie-lubie-starych-bab.html,"Ja po prostu nie lubię starych bab - męska koszulka na prezent dla fanów serialu 1670. Zaskocz bliskiego unikalnym prezentem, który wywoła uśmiech na twarzy! 😂 Kup teraz 👉 https://koszulkowy.pl/37598-ja-po-prostu-nie-lubie-starych-bab.html",2026-01-01,2026-01-31
"Kapibara bubbletea 38252",not_delivering,ad,"A+ Dzieciece","Kapibara bubbletea 38252",Incremental,25.29,1,32.73,25.29,-11.63919512,"Website purchases conversion value",1.29418743,32.73,2.12765957,2.27272727,3,84.29,8.43,3,138.77,8.43,44,,44,0.57477273,0.93617021,47,0.53808511,0.90821256,0,,4.88695652,-,-,-,https://koszulkowy.pl/38252-kapibara-bubble.html,"Kapibara - bubble tea - dziecięca koszulka na prezent. 🦦 Wyjątkowo słodki upominek dla najmłodszych miłośników kapibar i bąbelkowej herbaty! 🎉 Kup teraz 👉 https://koszulkowy.pl/38252-kapibara-bubble.html",2026-01-01,2026-01-31
"13221 Gang Dziadka",not_delivering,ad,"CKW Dziadek - 12/01 MIN 20zł","13221 Gang Dziadka","7-day click or 1-day view",24.75,,,,-24.75,,,,0,0,2,360.5,12.375,2,139.8,12.375,32,,32,0.7734375,0.84210526,38,0.65131579,1.60067397,0,,10.42544229,-,-,-,https://koszulkowy.pl/13221-gang-dziadka.html,"Podaruj dziadkowi koszulkę jedyną w swoim rodzaju ✍️👕

Gang dziadka 🧒👨‍🦳👧

Kup teraz ➡ https://koszulkowy.pl/13221-gang-dziadka.html",2026-01-01,2026-01-31
"Six seven 36550 bluza film – kopia",not_delivering,ad,"10.Viral trend__115_ 70_PL","Six seven 36550 bluza film – kopia","7-day click, 1-day view or 1-day engaged view",23.23,,,,-23.23,,,,0,0,2,324.36,11.615,1,59,23.23,14,,14,1.65928571,0.77777778,18,1.29055556,0.38918919,0.04627027,0.24766355,5.0227027,"Below average – bottom 35% of ads",Average,Average,https://koszulkowy.pl/36550-six-seven.html,"Six seven 67 - Italian Brainrot - bluza idealna na prezent! 🎁
Kup teraz 👉 https://koszulkowy.pl/36550-six-seven.html",2026-01-01,2026-01-31
"CKW Multi 1670 - 19393",active,ad,"5.Pragmatyczny Śmieszek_100_42_PL","CKW Multi 1670 - 19393","7-day click, 1-day view or 1-day engaged view",23.03,3,349.72,7.67666667,122.82882927,"Website purchases conversion value",15.18541033,116.57333333,7.5,8.82352941,7,728.12,3.29,5,310.61,4.606,34,,34,0.67735294,0.85,40,0.57575,0.93742676,0,,5.39723459,Average,"Above average","Above average",https://koszulkowy.pl/19393-jestes-swoj-chlop.html,"Koszulka inspirowana serialem 👕
Jesteś swój chłop... Tak się tylko mówi. Oczywiście jesteś mój chłop! 🤩
Zamów 👉 https://koszulkowy.pl/19393-jestes-swoj-chlop.html",2026-01-01,2026-01-31
"Six seven 36550 bluza film – kopia",active,ad,Universal__3x,"Six seven 36550 bluza film – kopia","7-day click, 1-day view or 1-day engaged view",22.69,,,,-22.69,,,,0,0,,,,,,,20,,20,1.1345,0.90909091,24,0.94541667,1.1816839,0.10438208,0.18396226,11.17183653,-,-,-,https://koszulkowy.pl/36550-six-seven.html,"Six seven 67 - Italian Brainrot - bluza idealna na prezent! 🎁
Kup teraz 👉 https://koszulkowy.pl/36550-six-seven.html",2026-01-01,2026-01-31
"DPA CKW Rolnik Karuzela",inactive,ad,"DPA CKW Rolnik","DPA CKW Rolnik Karuzela","7-day click, 1-day view or 1-day engaged view",22.16,1,55.5,22.16,0.98756098,"Website purchases conversion value",2.50451264,55.5,2.12765957,3.33333333,4,237.4,5.54,2,109.4,11.08,30,,30,0.73866667,0.78947368,47,0.47148936,1.07404022,0.00022852,1,5.06398537,-,-,-,https://koszulkowy.pl/560-prezent-dla-rolnika,"Idealny prezent dla rolnika 👉 https://koszulkowy.pl/560-prezent-dla-rolnika 👕 Zamów koszulkę, bluzę z kapturem, magiczny kubek lub inny gadżet na prezent dla ukochanej osoby 🤩✨ Sprawdź całą ofertę 🎁",2026-01-01,2026-01-31
"PODUSZKA Babciu co jak co ale wnuki to Ci się udały - 12389 – kopia",not_delivering,ad,"Advantage+ Best Babcia i Dziadek Zestaw reklam","PODUSZKA Babciu co jak co ale wnuki to Ci się udały - 12389 – kopia","7-day click or 1-day view",21.28,1,130.8,21.28,33.27317073,"Website purchases conversion value",6.14661654,130.8,7.14285714,25,,,,1,59,21.28,4,,4,5.32,0.28571429,14,1.52,0.38408779,0,,5.83813443,Average,Average,Average,https://koszulkowy.pl/12389-babciu-co-jak-co.html,"Poduszka dla najlepszej babci 👩‍🦳🎁

Oryginalny prezent 💝

Zamów ▶ https://koszulkowy.pl/12389-babciu-co-jak-co.html",2026-01-01,2026-01-31
"DPA CKW Rower Karuzela",not_delivering,ad,"DPA CKW Rower","DPA CKW Rower Karuzela","7-day click, 1-day view or 1-day engaged view",21,,,,-21,,,,0,0,,,,,,,94,,94,0.22340426,1.09302326,123,0.17073171,1.94990488,0,,3.3291059,-,-,-,https://koszulkowy.pl/557-prezent-dla-rowerzysty,"Idealny prezent dla fanów rowerowych przygód 👉 https://koszulkowy.pl/557-prezent-dla-rowerzysty 👕 Zamów koszulkę, bluzę z kapturem, magiczny kubek lub inny gadżet na prezent ✨ Sprawdź całą ofertę 🎁",2026-01-01,2026-01-31
"50 klasyk 38379",not_delivering,ad,"A+ Rocznikowe","50 klasyk 38379",Incremental,20.69,,,,-20.69,,,,0,0,,,,1,14.87,20.69,51,,51,0.40568627,0.92727273,55,0.37618182,1.2312514,0,,4.6317439,Average,"Above average","Above average",https://koszulkowy.pl/38379-piecdziesiecioletni-klasyk.html,"Pięćdziesięcioletni klasyk - na oryginalnych częściach od 1976. 🎁 Doskonały wybór dla miłośników unikalnych podarunków - niech Twój prezent będzie pełen historii i pasji! ✨ Kup teraz 👉 https://koszulkowy.pl/38379-piecdziesiecioletni-klasyk.html",2026-01-01,2026-01-31
"Bolą mnie plecy",inactive,ad,"Rolka branding","Bolą mnie plecy","7-day click, 1-day view or 1-day engaged view",19.77,,,,-19.77,,,,0,0,,,,,,,10,,10,1.977,0.58823529,18,1.09833333,0.85388994,0.09487666,0.145,9.37855787,-,-,-,https://koszulkowy.pl/,"Jeszcze chwila i bez fizjoterapeuty się nie obędzie. 😅

A wy pilnujecie tego żeby siedzieć prosto? Dajcie znać w komentarzach!

Zaobserwuj nasz profil! 💙
#korpohumor #workvibes #życiewpracy #workbestie",2026-01-01,2026-01-31
"Six seven 36547 – kopia",inactive,ad,"Italian Brainrot 67","Six seven 36547 – kopia","7-day click, 1-day view or 1-day engaged view",19.44,,,,-19.44,,,,0,0,5,282.91,3.888,1,59,19.44,26,,26,0.74769231,0.89655172,29,0.67034483,1.26527051,0,,8.48167539,Average,-,-,https://koszulkowy.pl/36547-six-seven-67.html,"Six seven 67 - Italian Brainrot - dziecięca koszulka na prezent. Podaruj dziecku wyjątkowy styl i odrobinę włoskiego szału! 🌟 Kup teraz 👉 https://koszulkowy.pl/36547-six-seven-67.html",2026-01-01,2026-01-31
"Film - 33691 łzy pracowników",inactive,ad,"11.Pragmatyczny Śmieszek__140_70_PL","Film - 33691 łzy pracowników","7-day click, 1-day view or 1-day engaged view",18.97,,,,-18.97,,,,0,0,,,,1,39.5,18.97,9,,9,2.10777778,0.47368421,19,0.99842105,0.46511628,0.07148103,0.14383562,4.64381885,Average,Average,Average,https://koszulkowy.pl/33691-lez-pracownikow-swieczka.html,"Szukasz prezentu dla szefa z dystansem? 😎
Ta świeca to absolutny hit! Zapach łez Twoich pracowników gwarantuje wybuch śmiechu już przy otwarciu pudełka 😂
Idealnie sarkastyczna, idealnie biurowa, idealnie trafiona.
Sprawdź 👉 https://koszulkowy.pl/33691-lez-pracownikow-swieczka.html",2026-01-01,2026-01-31
"DPA CKW Pszczelarz Karuzela",not_delivering,ad,"DPA CKW Pszczelarz","DPA CKW Pszczelarz Karuzela","7-day click, 1-day view or 1-day engaged view",17.5,,,,-17.5,,,,0,0,,,,,,,12,,12,1.45833333,0.92307692,26,0.67307692,0.73654391,0,,4.95750708,-,-,-,https://koszulkowy.pl/730-prezent-dla-pszczelarza,"Prezent dla pszczelarzy 👉https://koszulkowy.pl/730-prezent-dla-pszczelarza 🤩✨ W ofercie koszulki, bluzy z kapturem, kubki i poduszki 🎁",2026-01-01,2026-01-31
